date,temperature,humidity,luminosity
2019-12-11 14:36:00.661,21.5,34.7,186
2019-12-11 14:36:02.938,21.4,34.7,185
2019-12-11 14:36:05.216,21.4,34.6,185
2019-12-11 14:36:07.493,21.4,34.6,184
2019-12-11 14:36:09.770,21.4,34.7,185
2019-12-11 14:36:12.047,21.4,34.7,185
2019-12-11 14:36:14.324,21.4,34.6,186
2019-12-11 14:36:16.602,21.4,34.6,185
2019-12-11 14:36:18.879,21.4,34.6,185
2019-12-11 14:36:21.156,21.5,34.7,185
2019-12-11 14:36:23.433,21.5,34.7,185
2019-12-11 14:36:25.711,21.4,34.6,186
2019-12-11 14:36:27.988,21.5,34.7,186
2019-12-11 14:36:30.264,21.4,34.6,185
2019-12-11 14:36:32.542,21.4,34.6,185
2019-12-11 14:36:34.819,21.4,34.6,185
2019-12-11 14:36:37.097,21.4,34.6,186
2019-12-11 14:36:39.373,21.4,34.6,186
2019-12-11 14:36:41.649,21.4,34.6,185
2019-12-11 14:36:43.928,21.4,34.6,185
2019-12-11 14:36:46.204,21.4,34.6,185
2019-12-11 14:36:48.482,21.4,34.7,185
2019-12-11 14:36:50.759,21.4,34.8,186
2019-12-11 14:36:53.037,21.4,34.8,185
2019-12-11 14:36:55.315,21.4,34.8,185
2019-12-11 14:36:57.592,21.4,34.9,185
2019-12-11 14:36:59.869,21.4,34.9,185
2019-12-11 14:37:02.141,21.4,34.9,185
2019-12-11 14:37:04.419,21.4,34.9,185
2019-12-11 14:37:06.696,21.4,35.0,186
2019-12-11 14:37:08.974,21.4,35.0,185
2019-12-11 14:37:11.251,21.4,35.0,185
2019-12-11 14:37:13.528,21.4,34.9,185
2019-12-11 14:37:15.806,21.4,34.9,186
2019-12-11 14:37:18.082,21.4,34.9,186
2019-12-11 14:37:20.359,21.4,34.8,185
2019-12-11 14:37:22.637,21.4,34.8,185
2019-12-11 14:37:24.914,21.4,34.8,185
2019-12-11 14:37:27.191,21.4,34.8,185
2019-12-11 14:37:29.468,21.4,34.9,184
2019-12-11 14:37:31.745,21.4,34.9,185
2019-12-11 14:37:34.023,21.4,34.9,186
2019-12-11 14:37:36.300,21.4,34.9,186
2019-12-11 14:37:38.577,21.4,34.9,185
2019-12-11 14:37:40.855,21.4,35.0,185
2019-12-11 14:37:43.132,21.4,34.9,186
2019-12-11 14:37:45.409,21.4,34.9,185
2019-12-11 14:37:47.686,21.4,34.9,185
2019-12-11 14:37:49.963,21.4,34.9,185
2019-12-11 14:37:52.240,21.4,34.9,185
2019-12-11 14:37:54.516,21.4,34.9,186
2019-12-11 14:37:56.793,21.4,34.9,185
2019-12-11 14:37:59.071,21.4,34.9,185
2019-12-11 14:38:01.348,21.4,34.9,185
